region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha,annual_mean_temperature_c,annual_min_temperature_c,annual_max_temperature_c,annual_precipitation_mm,annual_rain_mm,annual_et0_mm
Bourgogne-Franche-Comté,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,747.45,bourgogne-franche-comte,747450.0,11.877808219178082,-9.7,35.7,851.5,819.3,867.48
Bourgogne-Franche-Comté,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,719.26,bourgogne-franche-comte,719260.0,12.912876712328767,-11.3,36.1,903.7,880.6,930.87
Bourgogne-Franche-Comté,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,766.13,bourgogne-franche-comte,766130.0,12.64986301369863,-4.8,39.7,763.5,741.8,960.04
Bourgogne-Franche-Comté,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,727.58,bourgogne-franche-comte,727580.0,12.939071038251365,-4.6,39.1,823.4,807.6,961.27
Bourgogne-Franche-Comté,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,737.08,bourgogne-franche-comte,737080.0,11.248767123287672,-9.1,32.5,1002.0,958.3,805.73
Bourgogne-Franche-Comté,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,718.2,bourgogne-franche-comte,718200.0,13.023287671232877,-8.3,37.2,947.2,937.8,970.98
Bourgogne-Franche-Comté,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,701.88,bourgogne-franche-comte,701880.0,13.03972602739726,-7.2,35.7,977.9,963.6,911.44
Bourgogne-Franche-Comté,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,683.88,bourgogne-franche-comte,683880.0,12.092349726775957,-6.3,34.9,1200.6,1182.3,767.71
Normandie,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,645.99,normandie,645990.0,12.329589041095891,-1.8,35.5,618.8,616.7,793.75
Normandie,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,650.88,normandie,650880.0,11.868852459016393,-4.7,37.3,624.0,621.4,765.85
Normandie,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,628.85,normandie,628850.0,12.445479452054796,-6.4,35.3,698.5,697.9,781.17
Normandie,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,623.19,normandie,623190.0,12.427123287671233,-7.0,34.3,660.8,654.5,807.33
Normandie,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,641.13,normandie,641130.0,12.383835616438358,-2.4,39.2,762.0,757.1,834.38
Normandie,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,621.77,normandie,621770.0,13.01393442622951,-2.2,36.7,699.9,699.7,859.55
Normandie,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,655.35,normandie,655350.0,11.79205479452055,-5.0,30.2,804.4,799.6,760.61
Normandie,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,638.65,normandie,638650.0,13.118630136986301,-4.1,39.2,775.1,772.2,871.79
Normandie,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,630.36,normandie,630360.0,13.058356164383563,-3.0,32.3,858.5,855.9,796.61
Normandie,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,605.0,normandie,605000.0,12.387431693989072,-4.7,32.1,864.1,845.1,717.66
Hauts-de-France,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1088.03,hauts-de-france,1088030.0,,,,,,
Hauts-de-France,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1074.04,hauts-de-france,1074040.0,,,,,,
Hauts-de-France,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1037.96,hauts-de-france,1037960.0,,,,,,
Hauts-de-France,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1031.3,hauts-de-france,1031300.0,,,,,,
Hauts-de-France,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1061.83,hauts-de-france,1061830.0,,,,,,
Hauts-de-France,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1033.69,hauts-de-france,1033690.0,,,,,,
Hauts-de-France,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1083.06,hauts-de-france,1083060.0,,,,,,
Hauts-de-France,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1052.96,hauts-de-france,1052960.0,,,,,,
Hauts-de-France,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1033.84,hauts-de-france,1033839.9999999999,,,,,,
Hauts-de-France,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,991.12,hauts-de-france,991120.0,,,,,,
Grand Est,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1374.09,grand est,1374090.0,,,,,,
Grand Est,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1365.91,grand est,1365910.0,,,,,,
Grand Est,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1397.97,grand est,1397970.0,,,,,,
Grand Est,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1332.77,grand est,1332770.0,,,,,,
Grand Est,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1380.36,grand est,1380360.0,,,,,,
Grand Est,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1321.83,grand est,1321830.0,,,,,,
Grand Est,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1405.96,grand est,1405960.0,,,,,,
Grand Est,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1350.98,grand est,1350980.0,,,,,,
Grand Est,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1302.46,grand est,1302460.0,,,,,,
Grand Est,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1305.06,grand est,1305060.0,,,,,,
Pays de la Loire,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,719.37,pays de la loire,719370.0,,,,,,
Pays de la Loire,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,708.62,pays de la loire,708620.0,,,,,,
Pays de la Loire,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,690.02,pays de la loire,690020.0,,,,,,
Pays de la Loire,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,674.91,pays de la loire,674910.0,,,,,,
Pays de la Loire,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,677.08,pays de la loire,677080.0,,,,,,
Pays de la Loire,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,638.72,pays de la loire,638720.0,,,,,,
Pays de la Loire,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,708.76,pays de la loire,708760.0,,,,,,
Pays de la Loire,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,679.89,pays de la loire,679890.0,,,,,,
Pays de la Loire,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,655.13,pays de la loire,655130.0,,,,,,
Pays de la Loire,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,597.1,pays de la loire,597100.0,,,,,,
Bretagne,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,587.33,bretagne,587330.0,,,,,,
Bretagne,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,588.26,bretagne,588260.0,,,,,,
Bretagne,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,573.9,bretagne,573900.0,,,,,,
Bretagne,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,561.46,bretagne,561460.0,,,,,,
Bretagne,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,584.32,bretagne,584320.0,,,,,,
Bretagne,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,576.82,bretagne,576820.0,,,,,,
Bretagne,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,601.09,bretagne,601090.0,,,,,,
Bretagne,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,588.75,bretagne,588750.0,,,,,,
Bretagne,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,570.83,bretagne,570830.0,,,,,,
Bretagne,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,576.57,bretagne,576570.0,,,,,,
Nouvelle-Aquitaine,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1352.95,nouvelle-aquitaine,1352950.0,,,,,,
Nouvelle-Aquitaine,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1342.02,nouvelle-aquitaine,1342020.0,,,,,,
Nouvelle-Aquitaine,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1284.05,nouvelle-aquitaine,1284050.0,,,,,,
Nouvelle-Aquitaine,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1232.0,nouvelle-aquitaine,1232000.0,,,,,,
Nouvelle-Aquitaine,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1288.26,nouvelle-aquitaine,1288260.0,,,,,,
Nouvelle-Aquitaine,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1173.52,nouvelle-aquitaine,1173520.0,,,,,,
Nouvelle-Aquitaine,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1236.46,nouvelle-aquitaine,1236460.0,,,,,,
Nouvelle-Aquitaine,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1187.0,nouvelle-aquitaine,1187000.0,,,,,,
Nouvelle-Aquitaine,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1172.0,nouvelle-aquitaine,1172000.0,,,,,,
Nouvelle-Aquitaine,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1093.34,nouvelle-aquitaine,1093340.0,,,,,,
Occitanie,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,807.04,occitanie,807040.0,,,,,,
Occitanie,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,797.33,occitanie,797330.0,,,,,,
Occitanie,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,760.63,occitanie,760630.0,,,,,,
Occitanie,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,746.33,occitanie,746330.0,,,,,,
Occitanie,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,743.68,occitanie,743680.0,,,,,,
Occitanie,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,690.79,occitanie,690790.0,,,,,,
Occitanie,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,729.02,occitanie,729020.0,,,,,,
Occitanie,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,681.8,occitanie,681800.0,,,,,,
Occitanie,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,694.05,occitanie,694050.0,,,,,,
Occitanie,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,654.92,occitanie,654920.0,,,,,,
Auvergne-Rhône-Alpes,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,547.81,auvergne-rhone-alpes,547810.0,,,,,,
Auvergne-Rhône-Alpes,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,553.57,auvergne-rhone-alpes,553570.0,,,,,,
Auvergne-Rhône-Alpes,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,527.82,auvergne-rhone-alpes,527820.0,,,,,,
Auvergne-Rhône-Alpes,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,510.74,auvergne-rhone-alpes,510740.0,,,,,,
Auvergne-Rhône-Alpes,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,509.95,auvergne-rhone-alpes,509950.0,,,,,,
Auvergne-Rhône-Alpes,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,513.75,auvergne-rhone-alpes,513750.0,,,,,,
Auvergne-Rhône-Alpes,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,524.09,auvergne-rhone-alpes,524090.00000000006,,,,,,
Auvergne-Rhône-Alpes,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,509.33,auvergne-rhone-alpes,509330.0,,,,,,
Auvergne-Rhône-Alpes,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,500.34,auvergne-rhone-alpes,500340.0,,,,,,
Auvergne-Rhône-Alpes,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,487.83,auvergne-rhone-alpes,487830.0,,,,,,
Provence-Alpes-Côte d’Azur,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,82.18,provence-alpes-cote d'azur,82180.0,,,,,,
Provence-Alpes-Côte d’Azur,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,82.49,provence-alpes-cote d'azur,82490.0,,,,,,
Provence-Alpes-Côte d’Azur,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,78.52,provence-alpes-cote d'azur,78520.0,,,,,,
Provence-Alpes-Côte d’Azur,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,70.37,provence-alpes-cote d'azur,70370.0,,,,,,
Provence-Alpes-Côte d’Azur,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,64.37,provence-alpes-cote d'azur,64370.00000000001,,,,,,
Provence-Alpes-Côte d’Azur,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,59.85,provence-alpes-cote d'azur,59850.0,,,,,,
Provence-Alpes-Côte d’Azur,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,66.97,provence-alpes-cote d'azur,66970.0,,,,,,
Provence-Alpes-Côte d’Azur,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,68.21,provence-alpes-cote d'azur,68210.0,,,,,,
Provence-Alpes-Côte d’Azur,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,65.35,provence-alpes-cote d'azur,65349.99999999999,,,,,,
Provence-Alpes-Côte d’Azur,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,64.5,provence-alpes-cote d'azur,64500.0,,,,,,
Corse,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.5,corse,1500.0,,,,,,
Corse,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.54,corse,1540.0,,,,,,
Corse,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.53,corse,1530.0,,,,,,
Corse,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.39,corse,1390.0,,,,,,
Corse,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.39,corse,1390.0,,,,,,
Corse,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.21,corse,1210.0,,,,,,
Corse,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.11,corse,1110.0,,,,,,
Corse,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.17,corse,1170.0,,,,,,
Corse,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.09,corse,1090.0,,,,,,
Corse,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.1,corse,1100.0,,,,,,
Guadeloupe,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Guadeloupe,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guadeloupe,0.0,,,,,,
Martinique,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,martinique,10.0,,,,,,
Martinique,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,martinique,10.0,,,,,,
Martinique,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,martinique,20.0,,,,,,
Martinique,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,martinique,20.0,,,,,,
Martinique,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,martinique,20.0,,,,,,
Martinique,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0,,,,,,
Martinique,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0,,,,,,
Martinique,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0,,,,,,
Martinique,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0,,,,,,
Martinique,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,martinique,0.0,,,,,,
Guyane,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.93,guyane,1930.0,,,,,,
Guyane,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,2.1,guyane,2100.0,,,,,,
Guyane,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1.45,guyane,1450.0,,,,,,
Guyane,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.83,guyane,830.0,,,,,,
Guyane,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.78,guyane,780.0,,,,,,
Guyane,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.32,guyane,320.0,,,,,,
Guyane,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.0,guyane,0.0,,,,,,
Guyane,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.31,guyane,310.0,,,,,,
Guyane,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.3,guyane,300.0,,,,,,
Guyane,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.3,guyane,300.0,,,,,,
La Réunion,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0,,,,,,
La Réunion,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0,,,,,,
La Réunion,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0,,,,,,
La Réunion,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0,,,,,,
La Réunion,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.09,la reunion,90.0,,,,,,
La Réunion,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,la reunion,20.0,,,,,,
La Réunion,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,la reunion,20.0,,,,,,
La Réunion,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.02,la reunion,20.0,,,,,,
La Réunion,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.03,la reunion,30.0,,,,,,
La Réunion,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.03,la reunion,30.0,,,,,,
Mayotte,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,,mayotte,,,,,,,
Mayotte,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
Mayotte,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
Mayotte,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
Mayotte,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
Mayotte,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
Mayotte,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
Mayotte,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,0.01,mayotte,10.0,,,,,,
